actiontype,ismydoc,ext,sessionid,documentposition,datetime
CLOSE,FALSE,ODT,b050869f74aa5fa6b580e4ed360d484b,OTHERAPP,2016.7.5
OPEN,FALSE,DOC,5d9da2154a5453292d290fce1e990e5b,OTHERAPP,2016.7.20
OPEN,FALSE,DOC,f7e5f9afa3b3f8acfec0c59c98bfb26a,OTHERAPP,2016.7.8
CLOSE,FALSE,DOC,f7e5f9afa3b3f8acfec0c59c98bfb26a,OTHERAPP,2016.7.8
OPEN,FALSE,DOCX,212b65264fa145da5b0d1f053b006949,OTHERAPP,2016.7.20
RESET,TRUE,DOCX,212b65264fa145da5b0d1f053b006949,OTHERAPP,2016.7.20
CLOSE,FALSE,DOCX,212b65264fa145da5b0d1f053b006949,OTHERAPP,2016.7.20
CLOSE,FALSE,DOCX,0e1aa4bd8e38e280bc9e79b7ae94f928,OTHERAPP,2016.7.15
OPEN,FALSE,DOCX,0e1aa4bd8e38e280bc9e79b7ae94f928,OTHERAPP,2016.7.15
SAVEAS,FALSE,DOCX,5c5d7b7c2caddb4ccb9e8a7a46d5cc92,MYPOLARISDRIVE,2016.7.23
CLOSE,FALSE,DOCX,5c5d7b7c2caddb4ccb9e8a7a46d5cc92,MYPOLARISDRIVE,2016.7.23
OPEN,FALSE,DOCX,5c5d7b7c2caddb4ccb9e8a7a46d5cc92,NEWDOCUMENT,2016.7.23
CLOSE,FALSE,HWP,9916baba75c38fd504448f2a4504e6bc,NONE,2016.7.9
CLOSE,FALSE,HWP,6bfb8ffb326523a6c42ccf614c022b5f,NONE,2016.7.1
OPEN,FALSE,HWP,9916baba75c38fd504448f2a4504e6bc,OTHERAPP,2016.7.9
OPEN,FALSE,HWP,6bfb8ffb326523a6c42ccf614c022b5f,OTHERAPP,2016.7.1
OPEN,TRUE,HWP,9916baba75c38fd504448f2a4504e6bc,MYPOLARISDRIVE,2016.7.9
OPEN,FALSE,HWP,6bfb8ffb326523a6c42ccf614c022b5f,MYPOLARISDRIVE,2016.7.1
CLOSE,TRUE,HWP,9916baba75c38fd504448f2a4504e6bc,NONE,2016.7.9
OPEN,FALSE,HWP,97376fb2942f04abb7efd16595c109cf,OTHERAPP,2016.7.21
OPEN,TRUE,HWP,97376fb2942f04abb7efd16595c109cf,MYPOLARISDRIVE,2016.7.21
OPEN,FALSE,HWP,9916baba75c38fd504448f2a4504e6bc,MYPOLARISDRIVE,2016.7.9
CLOSE,FALSE,HWP,97376fb2942f04abb7efd16595c109cf,NONE,2016.7.21
OPEN,FALSE,HWP,c857637705b2f4245f4b4a3e31cb429f,OTHERAPP,2016.7.22
OPEN,FALSE,HWP,7a0783f0cb598ec2b0bed16245f09c6c,OTHERAPP,2016.7.18
CLOSE,FALSE,HWP,c857637705b2f4245f4b4a3e31cb429f,NONE,2016.7.22
OPEN,FALSE,PDF,52289d79d35195545a3bec98703c0be6,OTHERAPP,2016.7.29
OPEN,TRUE,HWP,c857637705b2f4245f4b4a3e31cb429f,MYPOLARISDRIVE,2016.7.22
OPEN,FALSE,PDF,0fa62b7013e2ed69d3eec858225bc8c3,OTHERAPP,2016.7.29
OPEN,FALSE,HWP,88245047cb510600e0426e8ed9665ba7,OTHERAPP,2016.7.27
CLOSE,FALSE,PDF,0fa62b7013e2ed69d3eec858225bc8c3,NONE,2016.7.29
CLOSE,FALSE,HWP,88245047cb510600e0426e8ed9665ba7,NONE,2016.7.27
CLOSE,FALSE,PDF,52289d79d35195545a3bec98703c0be6,NONE,2016.7.29
CLOSE,FALSE,HWP,9e50b741e17f98d878ba94e676b5b486,NONE,2016.7.25
OPEN,FALSE,HWP,9e50b741e17f98d878ba94e676b5b486,OTHERAPP,2016.7.25
OPEN,FALSE,PDF,2fdc401301a6e2b00988fef4c666bed5,OTHERAPP,2016.7.13
CLOSE,FALSE,PDF,2fdc401301a6e2b00988fef4c666bed5,OTHERAPP,2016.7.13
CLOSE,FALSE,XLS,250c9ffe6728119686e7bd145634466a,OTHERAPP,2016.7.11
OPEN,FALSE,XLS,250c9ffe6728119686e7bd145634466a,OTHERAPP,2016.7.11
OPEN,FALSE,XLSX,69443043467e146191008e486a3aabad,OTHERAPP,2016.7.27
CLOSE,FALSE,XLS,7ef68c58b6742818f0b9fcdced01c687,OTHERAPP,2016.7.11
CLOSE,FALSE,XLSX,69443043467e146191008e486a3aabad,OTHERAPP,2016.7.27
OPEN,FALSE,XLS,7ef68c58b6742818f0b9fcdced01c687,OTHERAPP,2016.7.11
OPEN,FALSE,DOCX,7007dc4565e75c30d58ca6d27d27369f,OTHERAPP,2016.7.15
CLOSE,FALSE,DOCX,7007dc4565e75c30d58ca6d27d27369f,OTHERAPP,2016.7.15
OPEN,FALSE,DOC,87f588da09f12bf023b65a74fdf0c489,OTHERAPP,2016.7.2
OPEN,TRUE,DOCX,a937cb354c9e098f149507f598197846,OTHERAPP,2016.7.12
CLOSE,FALSE,DOC,87f588da09f12bf023b65a74fdf0c489,OTHERAPP,2016.7.2
CLOSE,TRUE,DOCX,87f588da09f12bf023b65a74fdf0c489,OTHERAPP,2016.7.2
CLOSE,TRUE,DOCX,a937cb354c9e098f149507f598197846,OTHERAPP,2016.7.12
OPEN,TRUE,DOCX,87f588da09f12bf023b65a74fdf0c489,OTHERAPP,2016.7.2
OPEN,TRUE,DOCX,8a07b93bb0da68ed62441b33ac6b70a9,OTHERAPP,2016.7.16
CLOSE,TRUE,DOCX,8a07b93bb0da68ed62441b33ac6b70a9,OTHERAPP,2016.7.16
CLOSE,TRUE,DOCX,67ce6f7f21b2446c1e4dc53f26eda6d1,OTHERAPP,2016.7.13
OPEN,FALSE,XLS,a3581012848ac1bd677dcaa873e9b4bc,OTHERAPP,2016.7.21
OPEN,TRUE,DOCX,67ce6f7f21b2446c1e4dc53f26eda6d1,OTHERAPP,2016.7.13
CLOSE,FALSE,DOCX,a3581012848ac1bd677dcaa873e9b4bc,OTHERAPP,2016.7.21
CLOSE,FALSE,DOCX,67ce6f7f21b2446c1e4dc53f26eda6d1,OTHERAPP,2016.7.13
OPEN,FALSE,DOCX,a3581012848ac1bd677dcaa873e9b4bc,OTHERAPP,2016.7.21
OPEN,FALSE,DOCX,67ce6f7f21b2446c1e4dc53f26eda6d1,OTHERAPP,2016.7.13
CLOSE,FALSE,XLS,a3581012848ac1bd677dcaa873e9b4bc,OTHERAPP,2016.7.21
CLOSE,FALSE,DOCX,d85463a9249357c70fd97d6b25da6957,OTHERAPP,2016.7.4
OPEN,TRUE,DOC,67ce6f7f21b2446c1e4dc53f26eda6d1,OTHERAPP,2016.7.13
OPEN,FALSE,DOCX,d85463a9249357c70fd97d6b25da6957,OTHERAPP,2016.7.4
